Year,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1960,0.8985,1.7265,0.6814,5.0894,1.1320,0.1609,0.0985,0.8425,1.4127,3.3950,1.0047,3.6434,2.1867,2.8332,0.9711,0.9102,0.1936,0.3996,0.2286,1.5611,3.0626,2.2842,1.2461,1.1764,2.1283,1.8585,2.8276,0.0692,0.3775,0.4373,0.1023,1.5260,1.9481,1.4735,0.9348,1.4854,0.0295,0.8667,1.6110,1.0207,6.2578,0.3500,0.9215,0.1707,1.3776,1.9710,0.2359,0.3690
1961,0.9180,1.7540,0.7168,5.5734,1.1375,0.1632,0.1040,0.8785,1.4552,3.5025,1.0322,3.5724,2.1909,2.8211,1.0038,0.9268,0.1900,0.4000,0.2243,1.5255,3.0635,2.3090,1.2545,1.1950,2.2310,1.8837,2.8397,0.0660,0.3447,0.4566,0.1013,1.5021,2.0201,1.3555,0.9924,1.4308,0.0283,0.8680,1.6256,1.0126,6.3470,0.3452,0.8702,0.1680,1.4270,1.9240,0.2297,0.3781
1962,0.9393,1.7905,0.7561,5.5188,1.1414,0.1678,0.1053,0.9609,1.4653,3.5159,1.0419,3.6577,2.1673,2.9101,1.0174,0.9487,0.1930,0.4110,0.2230,1.5141,3.0903,2.1818,1.2630,1.2214,2.2304,1.9128,2.8294,0.0646,0.3445,0.4758,0.1030,1.4317,2.0253,1.3754,0.9907,1.3603,0.0252,0.8886,1.6392,1.0053,6.3805,0.3379,0.9143,0.1681,1.4074,1.9173,0.2298,0.3751
1963,0.9702,1.8698,0.7868,5.5296,1.1831,0.1808,0.1121,1.0065,1.5186,3.5149,1.0502,3.7316,2.1690,3.0016,1.0468,1.0005,0.1919,0.4202,0.2308,1.5221,3.0454,2.2132,1.3031,1.2336,2.3744,1.9023,2.8665,0.0627,0.3322,0.5002,0.1063,1.4650,2.1029,1.3975,0.9884,1.3765,0.0257,0.8993,1.7113,1.0400,6.6227,0.3459,0.9249,0.1700,1.4258,1.9779,0.2438,0.3790
1964,1.0051,1.9102,0.8263,5.5222,1.2181,0.1889,0.1246,1.0393,1.5689,3.6562,1.0636,3.8800,2.1860,3.0820,1.0386,1.0443,0.1914,0.4355,0.2274,1.5209,3.0809,2.3894,1.3306,1.2338,2.5078,1.9007,2.9619,0.0614,0.3104,0.5382,0.1069,1.3997,2.0818,1.4690,0.9873,1.3492,0.0258,0.9322,1.7954,1.0593,6.9377,0.3446,0.9714,0.1670,1.4465,1.9929,0.2309,0.4039
1965,1.0308,1.9140,0.8055,5.4391,1.2582,0.1825,0.1276,1.0721,1.6043,3.7893,1.0624,3.8792,2.2381,3.1575,1.0914,1.0945,0.1833,0.4312,0.2231,1.5480,3.1703,2.3813,1.3781,1.2407,2.5585,1.9236,3.0658,0.0599,0.3058,0.5472,0.1095,1.3861,2.1539,1.5235,0.9729,1.2736,0.0285,0.9296,1.7805,1.1807,7.0855,0.3543,1.0175,0.1620,1.4480,2.0182,0.3115,0.4005
1966,1.0429,1.9480,0.7710,5.4152,1.2244,0.1745,0.1267,1.1028,1.6768,3.7856,1.0965,4.0810,2.4309,3.1460,1.1468,1.1914,0.1783,0.4316,0.2152,1.5702,3.1887,2.4753,1.3788,1.3052,2.5512,1.9704,3.0464,0.0580,0.3117,0.5492,0.1120,1.4036,2.0993,1.5566,0.9935,1.3100,0.0274,0.9566,1.8516,1.2622,7.1514,0.3614,1.0537,0.1618,1.4965,2.0443,0.2354,0.4277
1967,1.0782,1.9346,0.7270,5.0651,1.2319,0.1655,0.1254,1.1199,1.6963,3.8117,1.1314,4.0863,2.4239,3.1539,1.2100,1.2271,0.1698,0.4189,0.2155,1.5455,3.2609,2.4970,1.3756,1.3158,2.5943,2.0270,3.0978,0.0587,0.2955,0.5479,0.1164,1.3693,2.2266,1.5748,0.9969,1.2829,0.0250,0.9695,1.8912,1.2725,7.2015,0.3627,1.0705,0.1600,1.4754,1.9895,0.2419,0.4221
1968,1.1048,1.9843,0.7375,4.9054,1.2319,0.1595,0.1286,1.1437,1.7131,3.9510,1.1391,4.0449,2.5097,3.2177,1.2246,1.3071,0.1666,0.4114,0.2154,1.4936,3.2141,2.5219,1.3933,1.2802,2.6688,2.0115,3.1654,0.0596,0.2829,0.5383,0.1186,1.3059,2.1987,1.6698,1.0061,1.2698,0.0234,0.9717,1.8479,1.2860,7.1753,0.3651,1.0820,0.1576,1.4614,2.0172,0.2276,0.4260
1969,1.1411,1.9985,0.6937,5.2844,1.2629,0.1539,0.1325,1.2436,1.7579,4.1337,1.1345,4.1917,2.4452,3.1682,1.2887,1.3347,0.1616,0.4135,0.2096,1.4959,3.2564,2.6331,1.3916,1.2855,2.5963,2.0855,3.2291,0.0587,0.2723,0.5631,0.1265,1.2606,2.2164,1.7363,1.0097,1.2594,0.0226,0.8658,1.8879,1.3396,7.2968,0.3561,1.0963,0.1540,1.5235,2.0398,0.2271,0.4233
