Year,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1960,1.4772,0.5828,0.2706,3.1909,0.2559,0.2381,0.3934,2.0608,1.3838,1.5925,0.2605,1.9264,2.1656,1.0223,1.4279,0.5132,0.2557,0.6572,0.5799,1.4839,1.7839,1.5849,1.0093,0.1360,1.8526,0.6315,0.9604,0.0618,0.4716,0.1826,0.0143,2.1739,2.9445,0.5498,0.4729,1.6818,0.0544,0.6052,0.1193,1.2869,1.8266,0.0891,1.0698,0.2043,0.5055,1.1961,0.2555,0.0615
1961,1.4391,0.6166,0.3065,3.2138,0.2717,0.2172,0.3646,2.2115,1.5802,1.7759,0.3239,2.1710,2.1351,1.1867,1.4114,0.5286,0.2402,0.6385,0.6068,1.6734,1.8941,1.6242,0.9778,0.1610,1.9266,0.6835,1.4360,0.0622,0.4388,0.1982,0.0164,2.0641,2.5228,0.7210,0.5632,1.6099,0.0520,0.6198,0.1704,1.2389,2.0124,0.0936,1.0760,0.2197,0.4512,1.2871,0.2492,0.0546
1962,1.8916,0.7082,0.2499,2.9047,0.2674,0.1725,0.3902,2.2055,1.4286,1.7239,0.2856,2.2021,1.9509,1.1989,1.5069,0.5206,0.1883,0.6224,0.4801,1.1094,1.7104,1.5103,1.1073,0.1555,1.8015,0.8142,1.0351,0.0458,0.4910,0.2069,0.0164,1.8059,1.7594,0.7579,0.5569,1.4559,0.0386,0.5920,0.1779,1.3720,2.3904,0.0686,1.1072,0.3034,0.5154,1.0176,0.1951,0.0510
1963,1.9637,0.7572,0.2905,3.3620,0.2727,0.1870,0.4678,2.2002,1.5198,2.2022,0.3076,2.7102,2.2908,1.4100,1.6599,0.5917,0.2091,0.7113,0.4597,1.3155,1.8565,1.8692,1.1384,0.2094,1.9265,0.7713,1.2190,0.0483,0.5040,0.2132,0.0184,1.9882,2.0561,0.9232,0.6636,1.5545,0.0436,0.6414,0.2066,1.4911,3.0993,0.0716,1.1606,0.3142,0.5722,1.0538,0.1976,0.0753
1964,1.9218,0.8473,0.3017,3.6786,0.3370,0.1963,0.5010,2.4694,1.6050,2.6895,0.4223,3.3791,2.6683,1.5278,1.8183,0.6332,0.2354,0.6996,0.4778,1.5118,2.3598,2.1552,1.2195,0.2328,2.0153,0.8624,1.2357,0.0548,0.5431,0.2180,0.0192,2.1852,2.2743,1.0507,0.7289,1.6449,0.0459,0.6980,0.2730,1.6811,3.4297,0.0798,1.1308,0.3111,0.6077,1.2599,0.2314,0.0855
1965,1.9666,0.8376,0.3053,4.0589,0.3853,0.2015,0.5817,2.6543,1.7061,2.9744,0.4439,3.8844,2.8415,1.7027,1.8229,0.7167,0.2425,0.7716,0.5486,1.4257,2.4515,2.2573,1.1694,0.2396,2.0559,0.9484,1.3960,0.0684,0.5077,0.2343,0.0248,2.0381,2.2281,1.2447,0.7973,1.5826,0.0468,0.6646,0.3036,1.6058,3.6583,0.1151,1.1957,0.5289,0.6916,1.3585,0.2516,0.1005
1966,1.9974,0.8027,0.3447,4.1375,0.4847,0.2188,0.6252,2.7773,1.8749,3.9144,0.4913,4.8376,3.4915,2.2351,2.1135,0.7810,0.2567,0.8278,0.6145,1.5215,2.5584,2.6350,1.1733,0.3113,2.1589,1.2219,1.8851,0.0738,0.5214,0.2358,0.0275,2.2540,2.4696,1.5814,0.9771,1.7704,0.0450,0.7064,0.4849,1.9886,3.9239,0.1397,1.2622,0.5151,0.7965,1.4290,0.2570,0.1350
1967,2.3194,0.9292,0.2805,3.7977,0.5350,0.2154,0.4660,2.4023,2.0101,4.6521,0.4624,3.8614,3.1197,2.2031,1.9576,0.8006,0.2091,0.7572,0.4603,1.4371,2.8200,2.7187,1.4983,0.4434,2.2258,1.6584,1.8286,0.0835,0.5317,0.2012,0.0255,1.5327,2.1801,1.3002,1.0108,1.5776,0.0323,0.7192,0.5384,2.5329,3.5522,0.1826,1.3679,0.2969,0.7659,1.4778,0.2403,0.1474
1968,1.8573,0.7216,0.2139,3.0267,0.4769,0.0955,0.2583,2.4872,2.0230,3.5991,0.3567,4.0081,2.4818,1.9399,1.3736,0.7005,0.1027,0.5040,0.3175,1.0696,2.1549,2.4917,1.1021,0.4100,2.5780,1.1181,1.7632,0.0340,0.3788,0.1665,0.0169,0.9606,1.6617,0.9638,0.6237,1.0733,0.0159,0.8904,0.5077,1.7299,2.9263,0.0969,1.1872,0.1048,0.6331,1.2068,0.1470,0.1177
1969,1.9575,0.8350,0.2455,3.0876,0.5266,0.1011,0.2546,2.8242,2.0279,3.8035,0.4893,3.7040,2.5802,2.2826,1.5381,0.7240,0.1087,0.4751,0.3090,1.1057,2.8298,2.5650,1.2449,0.4560,2.5876,1.1399,1.7718,0.0397,0.3291,0.1900,0.0189,0.9966,1.7492,1.1095,0.6232,1.1815,0.0185,0.8836,0.6457,1.6691,3.7773,0.1002,1.2601,0.1225,0.6377,1.2803,0.1608,0.1492
1970,1.8092,0.7795,0.2650,3.2800,0.5851,0.0772,0.2738,2.7506,1.8681,4.3853,0.5035,3.3915,2.6718,2.7830,1.5041,0.7622,0.0922,0.5159,0.2687,1.2628,2.5356,2.7667,1.1267,0.4910,2.6137,1.2241,2.0995,0.0375,0.3291,0.1824,0.0229,0.9107,1.8528,1.2727,0.7249,1.2030,0.0169,0.8029,0.7608,1.6341,3.7557,0.1077,1.2522,0.1307,0.6866,1.2987,0.1561,0.1586
1971,1.6623,0.8581,0.2538,3.3392,0.5926,0.0743,0.2670,2.2884,1.8256,4.4139,0.5429,3.6256,2.8521,2.5191,1.5090,0.7716,0.0841,0.6247,0.2380,1.4182,3.4328,2.6019,1.2493,0.5413,2.5209,1.1179,2.2063,0.0372,0.3393,0.1872,0.0229,0.8988,1.9591,1.2499,0.8025,1.1749,0.0152,0.7599,0.7756,1.5019,3.5680,0.1053,1.2250,0.1192,0.7105,1.3106,0.1354,0.1610
1972,1.6990,0.8942,0.2815,3.5741,0.6333,0.0787,0.2526,2.4514,1.9434,4.4485,0.5546,3.0544,2.6464,2.7926,1.4749,0.7914,0.0822,0.4951,0.2215,1.2897,3.2925,2.6704,1.2908,0.5284,2.2694,1.1101,2.2215,0.0335,0.2673,0.1763,0.0285,0.9100,1.9003,1.2351,0.8104,1.0325,0.0137,0.7341,0.7176,1.4927,3.8339,0.1193,1.1734,0.1024,0.7203,1.3739,0.1406,0.1822
1973,1.8365,0.9486,0.3128,3.8896,0.7159,0.0937,0.3494,2.6613,2.3446,4.7083,0.7789,2.5141,3.1941,3.5343,1.6329,0.7498,0.1012,0.7078,0.2662,1.3841,4.2553,2.4897,1.3702,0.7194,2.6272,1.8728,2.5179,0.0340,0.3415,0.2291,0.0362,0.9791,2.1725,1.4708,1.0814,1.1887,0.0133,0.8762,0.9749,1.6310,4.1631,0.1322,1.3509,0.1020,0.8797,1.5444,0.1198,0.2216
1974,1.7467,0.8748,0.3232,3.9180,0.7768,0.1401,0.3896,3.5606,2.4827,4.9935,0.7489,3.9068,4.1533,3.3865,1.9789,0.8256,0.1755,0.7766,0.8210,1.6943,4.3218,2.7555,0.9501,0.4465,3.6191,1.8290,2.8358,0.0689,0.2987,0.2238,0.0375,1.0676,2.7032,1.3795,0.9021,1.3137,0.0252,1.1790,0.8979,1.7437,4.3415,0.1126,1.9778,0.1448,0.9853,1.8653,0.1411,0.1690
1975,1.4486,0.7304,0.3030,3.8735,0.7105,0.1286,0.3898,2.5820,1.9969,4.9712,0.7218,6.1418,3.1805,3.2705,1.8462,0.6707,0.1518,0.7606,0.4765,1.4095,4.3404,2.4145,0.8192,0.6078,2.6868,1.8295,2.2255,0.0390,0.3778,0.1771,0.0321,0.9746,2.5078,1.1986,0.7831,1.3942,0.0322,0.7292,0.7226,1.6261,3.3437,0.0956,1.8752,0.1159,0.8453,1.5872,0.1279,0.1814
