Year,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1960,3.8622,7.9731,3.3319,37.2404,2.7060,1.2981,0.5516,7.7418,3.9754,4.4162,3.8637,6.1028,3.4227,3.2828,4.5731,5.7291,2.1697,2.1850,1.5500,4.8268,4.8925,4.0362,7.3438,2.1566,7.3189,3.1326,3.0331,0.4181,2.6345,2.5157,0.3489,7.1609,3.2440,3.3620,4.3103,4.4739,0.2087,3.6694,1.9094,4.6430,19.3482,1.0148,5.6842,1.1364,5.2096,5.6280,1.0456,1.3637
1961,3.8721,7.5132,2.9856,35.6892,2.7706,1.2354,0.4982,7.3613,4.1223,4.1227,3.8060,5.8530,3.4994,3.1741,4.2578,5.9280,1.8686,2.0081,1.4694,4.6044,4.9939,3.6825,7.5780,1.7691,7.2742,2.4697,2.9249,0.4588,2.5144,2.1751,0.2691,7.2907,3.4424,3.3840,3.8809,4.4546,0.1865,4.1977,1.9817,4.1922,19.7397,1.0398,5.4088,0.8851,4.9498,5.9308,1.0266,1.3448
1962,3.8744,7.6439,2.7450,33.7238,2.6393,1.2396,0.4821,7.7516,4.0650,4.6565,3.8510,5.9677,3.4387,3.4017,4.4476,5.5881,1.7798,2.1224,1.4753,4.3627,5.8839,3.9231,7.0049,1.9036,6.8438,2.7618,2.7546,0.4754,2.5339,2.0095,0.2967,7.2476,3.4600,3.0757,4.2484,4.3030,0.1395,4.2085,2.1451,3.8074,19.2670,1.0308,5.0276,0.7727,4.5846,6.0137,0.9055,1.3321
1963,3.7836,7.6965,2.7735,31.7793,2.3618,1.1384,0.4523,7.5547,4.5706,4.3929,4.1131,5.6500,3.7315,3.5058,4.6966,5.7241,1.6585,2.1107,1.5634,4.3956,5.7921,3.5695,6.9276,1.8579,7.7620,2.3145,2.4845,0.4360,2.6385,1.9222,0.3075,6.8855,3.6893,2.6273,4.2451,4.3201,0.1400,4.0378,2.0731,4.2020,16.2769,1.0771,5.0359,0.8188,4.8123,6.5409,0.8298,1.4774
1964,3.6678,6.7020,3.0472,30.8605,2.0169,1.1688,0.3807,7.9658,4.8592,3.9713,4.2410,4.8650,3.2671,3.7604,4.3831,5.5818,1.5780,2.0704,1.4710,4.1800,5.7464,3.2791,6.5063,1.7653,7.2608,2.1442,2.3003,0.3937,2.8220,1.8667,0.3365,6.7651,3.4543,2.0519,4.3553,4.2377,0.1479,3.9845,1.9777,3.7144,15.3353,1.1486,4.6577,0.7611,4.7659,4.9536,0.7744,1.6507
1965,3.2863,6.7365,3.0541,32.1199,1.9393,1.2480,0.4030,8.6156,4.5665,3.9301,4.1224,4.3851,3.1550,3.6621,4.0960,5.2710,1.6430,2.1048,1.2679,3.5849,5.8265,3.1116,6.4575,1.7070,7.0577,2.2979,2.1676,0.3704,2.9589,1.7324,0.3953,6.3835,3.1662,2.0979,3.9944,4.0423,0.1538,4.1319,1.9332,3.1612,13.7552,1.0984,4.4973,0.7207,4.1564,6.0648,0.6995,1.5822
1966,3.8618,4.7096,3.0571,32.6254,2.5570,1.1652,0.3092,9.3760,3.4209,3.9739,3.9839,3.8785,2.8368,3.5172,4.0101,4.5285,1.4805,1.6901,1.2725,3.2226,4.5111,3.3627,5.5149,2.0051,6.5748,2.1550,2.3457,0.3721,2.6480,1.4578,0.3141,5.2361,2.7655,1.8312,3.1397,3.7228,0.1464,3.2153,1.8797,3.6291,14.2424,0.9292,3.8861,0.6463,4.4279,5.3564,0.5792,1.4932
1967,3.5197,4.7394,3.1872,29.6179,3.1601,0.9870,0.2668,10.5225,3.8303,3.5672,3.8730,3.5474,2.3131,3.1743,3.7220,4.1439,1.3496,1.5874,1.0984,3.1559,4.1000,4.1737,3.6400,2.1488,5.8945,1.8795,2.0711,0.3840,2.2742,1.4451,0.4765,4.9255,2.5817,2.0859,2.9072,3.7194,0.1533,3.1321,1.7923,2.8409,13.0685,0.8657,3.4206,0.5258,3.5015,5.3570,0.5366,1.3553
1968,3.2578,5.0114,3.1531,33.0386,3.0625,0.9154,0.3063,9.5229,3.4371,3.0495,3.5389,3.1680,2.0852,2.6932,2.9321,3.9449,1.2736,1.3997,0.9764,2.7947,4.1801,3.4836,3.2348,1.7862,5.0744,1.6603,1.6218,0.3801,2.1464,1.3434,0.4615,4.7052,2.5561,1.8715,2.8275,3.4073,0.1524,2.9912,1.6352,2.4732,13.3390,0.8027,3.2964,0.5216,3.5973,5.8706,0.5111,1.2972
1969,3.2918,5.7815,3.2396,31.9833,3.3537,0.8469,0.3355,9.3145,3.2462,3.0292,3.5466,2.9802,1.8436,2.8002,2.4800,3.6385,1.1150,1.4166,1.0028,2.3185,3.9031,3.2647,3.1486,1.9356,4.6304,1.6149,1.6095,0.3460,2.0872,1.3229,0.3725,4.9607,2.3738,1.7309,2.8229,3.3281,0.1300,2.7792,1.8323,2.1881,13.2641,0.7740,3.2523,0.5834,3.9286,5.3559,0.4430,1.2017
