Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
AL,3.8622,3.8721,3.8744,3.7836,3.6678,3.2863,3.8618,3.5197,3.2578,3.2918,2.9946,2.7470,2.5674,2.8384,2.6834,2.8231,2.9606,2.9386,2.7453,2.8749,3.3111,2.7236,2.5506,2.5351,2.5917,2.2866,1.7462,1.9054,2.3608,1.9337,1.7982,1.8157,2.0716,1.6294,1.3949,1.6419,1.0000,1.2171,1.3153,1.3232,1.1458,1.3700,1.5843,1.1820,1.2412
AR,7.9731,7.5132,7.6439,7.6965,6.7020,6.7365,4.7096,4.7394,5.0114,5.7815,5.2597,4.9180,4.5723,4.7871,4.3808,4.1041,4.3924,4.7419,4.3307,3.5876,4.8218,4.4343,3.6016,3.4044,3.3875,3.2655,2.4691,2.5131,2.5970,3.3208,2.8945,3.2263,2.8517,2.7221,2.4110,2.7685,2.8097,3.3307,2.4003,2.3328,2.1779,2.7382,2.0183,1.5853,1.9254
AZ,3.3319,2.9856,2.7450,2.7735,3.0472,3.0541,3.0571,3.1872,3.1531,3.2396,3.1056,3.0479,3.0893,2.9671,2.9118,2.9203,2.7107,2.8918,3.0158,2.4489,2.7962,2.4177,3.0209,2.8094,3.0734,2.8374,2.0309,2.7031,2.4485,2.1662,2.2162,2.2699,2.7179,2.1562,2.6452,3.1536,2.5774,2.4124,3.1390,2.6906,2.6765,2.5516,2.4896,2.2526,2.3022
CA,37.2404,35.6892,33.7238,31.7793,30.8605,32.1199,32.6254,29.6179,33.0386,31.9833,35.9590,32.5445,34.5257,36.2654,40.1404,43.5979,41.9065,38.7570,31.4501,36.9283,34.1697,33.0803,32.4257,34.7080,31.9413,30.4105,28.6727,29.4155,31.6239,33.2535,30.0285,35.9945,31.8812,32.6765,34.5376,37.1720,37.9599,35.9892,47.2933,52.9232,44.9169,40.4086,47.4005,42.5454,40.5833
CO,2.7060,2.7706,2.6393,2.3618,2.0169,1.9393,2.5570,3.1601,3.0625,3.3537,3.3171,2.9316,2.7672,3.2385,3.2598,2.9636,2.9454,3.1236,3.4346,2.8536,3.7760,3.7411,3.1999,3.0845,2.8741,3.0532,3.0148,3.8235,3.3118,3.2929,3.7612,2.5415,2.1689,2.6321,2.4594,1.8973,3.0219,3.5453,2.8636,3.0161,3.0629,3.2568,2.2199,3.0337,2.7712
CT,1.2981,1.2354,1.2396,1.1384,1.1688,1.2480,1.1652,0.9870,0.9154,0.8469,0.9390,0.9231,1.0048,1.0403,1.0787,1.2809,1.3720,1.4815,1.2670,1.1848,1.2784,1.2381,1.3111,1.2614,1.3185,1.3101,1.1558,1.1776,1.2335,1.2282,1.1145,1.1129,1.0575,1.1225,1.1950,1.2602,1.1246,1.1263,1.0574,1.0078,1.0436,1.0617,1.1199,1.0212,0.9289
DE,0.5516,0.4982,0.4821,0.4523,0.3807,0.4030,0.3092,0.2668,0.3063,0.3355,0.3601,0.3180,0.2896,0.3024,0.3597,0.3792,0.3476,0.3505,0.3550,0.3788,0.3531,0.3131,0.4668,0.4178,0.4004,0.3943,0.3487,0.3117,0.3537,0.3488,0.2885,0.2951,0.3007,0.2655,0.3712,0.2366,0.1668,0.2260,0.2422,0.2902,0.2545,0.3801,0.2552,0.1870,0.2264
FL,7.7418,7.3613,7.7516,7.5547,7.9658,8.6156,9.3760,10.5225,9.5229,9.3145,10.8537,10.8810,9.8813,10.0963,8.5201,8.1930,9.2853,9.2515,9.6402,10.4168,9.7805,8.7847,7.9835,8.2631,8.3244,8.6501,8.9775,9.0195,9.8992,9.2175,8.1136,9.0013,9.8053,9.5055,10.1280,9.6518,7.8600,8.9808,9.1692,9.4655,10.3875,9.7631,9.2556,9.3011,9.2742
GA,3.9754,4.1223,4.0650,4.5706,4.8592,4.5665,3.4209,3.8303,3.4371,3.2462,3.2930,3.0512,2.7937,3.4197,3.8560,3.8520,4.0285,3.8953,3.9885,4.8260,5.3740,4.8035,5.1442,4.6932,4.1869,3.2055,2.6205,2.9038,2.4175,3.0145,3.0154,3.4213,3.4586,3.0061,3.3328,3.1603,3.2319,3.2332,2.9488,2.5020,2.0363,2.4170,2.2949,2.5308,2.6203
IA,4.4162,4.1227,4.6565,4.3929,3.9713,3.9301,3.9739,3.5672,3.0495,3.0292,2.8355,3.0144,3.0413,3.5010,4.2673,4.8483,5.8829,5.9099,5.7141,6.4773,6.1245,5.0866,4.4851,4.5069,4.0600,3.3588,4.4172,3.2522,3.2325,4.0285,3.6468,2.6409,3.0296,2.5206,2.8638,3.9629,2.7453,3.0906,2.8151,2.3546,2.3036,2.4050,2.3651,2.0071,1.6933
ID,3.8637,3.8060,3.8510,4.1131,4.2410,4.1224,3.9839,3.8730,3.5389,3.5466,3.6339,3.2453,3.0626,3.4129,3.3649,3.5547,4.7194,4.0263,4.3043,3.7862,4.1488,3.5798,4.2465,3.7753,3.7505,3.3616,2.9072,2.9833,2.6873,3.3032,2.9965,2.7686,2.7508,2.8096,2.7461,3.5173,3.3878,2.2765,3.0266,3.1957,3.5946,3.6715,3.7083,3.5721,3.2220
IL,6.1028,5.8530,5.9677,5.6500,4.8650,4.3851,3.8785,3.5474,3.1680,2.9802,2.8073,2.8215,2.7957,3.2022,3.2132,3.8425,4.6556,5.1203,4.4316,5.6671,4.6820,4.5540,4.8551,4.9086,4.6120,4.3782,3.7853,3.6060,3.3521,3.1684,2.6183,4.5414,3.6256,3.5777,3.2888,3.6740,2.9405,3.7402,2.9289,3.5533,3.9148,3.0303,2.6557,3.1574,2.9717
IN,3.4227,3.4994,3.4387,3.7315,3.2671,3.1550,2.8368,2.3131,2.0852,1.8436,1.8281,2.0068,2.0951,2.4689,3.0046,3.2774,3.6348,4.3623,4.1212,3.3442,4.8352,3.4295,4.1178,3.9655,3.8474,4.2272,4.0689,3.3718,2.9450,2.9229,2.4067,2.7289,2.4398,2.7975,2.3771,1.7861,2.2199,2.7088,2.4178,2.5371,2.3296,3.3445,2.0804,1.7096,1.7861
KS,3.2828,3.1741,3.4017,3.5058,3.7604,3.6621,3.5172,3.1743,2.6932,2.8002,2.6333,2.7536,2.6128,3.0705,3.2899,3.6355,3.9756,3.9850,3.1569,4.4784,5.2895,4.5277,3.7141,3.5553,3.4417,3.4772,3.2085,3.0726,2.6249,3.0429,3.2523,2.4798,2.7881,3.2840,1.9558,2.3671,2.8935,3.4824,2.8466,3.4432,3.0625,2.7502,2.4057,2.2729,2.1931
KY,4.5731,4.2578,4.4476,4.6966,4.3831,4.0960,4.0101,3.7220,2.9321,2.4800,2.3205,2.3845,2.4462,2.5533,3.1218,2.2881,2.9400,2.9128,3.7022,2.6640,3.4921,3.6310,3.3391,3.0933,2.8987,2.8286,2.5679,2.3868,2.6032,3.1306,2.6708,2.1577,2.2583,2.1534,1.7433,2.0338,1.8520,1.8411,1.5987,2.0929,2.1259,1.8907,1.6829,2.1064,2.5725
LA,5.7291,5.9280,5.5881,5.7241,5.5818,5.2710,4.5285,4.1439,3.9449,3.6385,2.9924,3.0928,3.5037,3.2399,3.4853,2.7204,3.3584,2.9429,2.9566,2.5517,3.1525,3.2805,2.7898,2.6471,2.2451,2.6631,1.8736,1.9718,2.8299,2.2025,1.7581,1.8245,1.9490,2.0630,1.1144,1.7255,1.6865,1.6071,1.6353,1.7383,1.7194,1.5848,1.5661,1.4640,1.1113
MA,2.1697,1.8686,1.7798,1.6585,1.5780,1.6430,1.4805,1.3496,1.2736,1.1150,1.0952,1.2388,1.0323,1.1685,0.9898,1.1789,1.2497,1.3545,1.3890,1.2957,1.3566,1.2839,1.2547,1.2379,1.3521,1.2973,1.0831,0.9383,0.8668,0.7035,0.8077,0.9540,1.0289,1.0719,1.1421,0.9347,0.8295,0.6961,0.6538,0.6210,0.6453,0.6563,0.6920,0.6315,0.5745
MD,2.1850,2.0081,2.1224,2.1107,2.0704,2.1048,1.6901,1.5874,1.3997,1.4166,1.3548,1.2865,1.1759,1.4055,1.5728,1.6956,1.8783,1.6136,1.8016,2.0017,1.9222,2.0323,1.7739,1.5699,1.5777,1.5269,1.3067,1.3897,1.2154,1.0029,1.2985,0.9993,1.3678,1.1126,1.0265,1.0169,1.0489,1.5609,1.1153,1.2580,0.9417,0.9907,1.1453,0.5944,0.7644
