"Year","Variable","Value"
1960,"Total Output","175,550"
1960,"All livestock and Products","87,662"
1960,"Livestock and Products: Meat","55,842"
1960,"Livestock and Products: Dairy","19,576"
1960,"Livestock and Products: Poultry and eggs","11,371"
1960,"All Crops","84,423"
1960,"Crops: Food Grains","7,545"
1960,"Crops: Feed Crops","37,693"
1960,"Crops: Oil Crops","6,917"
1960,"Crops: Vegetables and Melons","10,331"
1960,"Crops: Fruits and Tree Nuts","10,413"
1960,"Crops: Other","14,140"
1961,"Total Output","177,680"
1961,"All livestock and Products","92,102"
1961,"Livestock and Products: Meat","58,781"
1961,"Livestock and Products: Dairy","20,156"
1961,"Livestock and Products: Poultry and eggs","12,343"
1961,"All Crops","83,317"
1961,"Crops: Food Grains","6,917"
1961,"Crops: Feed Crops","35,151"
1961,"Crops: Oil Crops","7,964"
1961,"Crops: Vegetables and Melons","10,907"
1961,"Crops: Fruits and Tree Nuts","10,761"
1961,"Crops: Other","14,362"
1962,"Total Output","179,290"
1962,"All livestock and Products","91,780"
1962,"Livestock and Products: Meat","58,629"
1962,"Livestock and Products: Dairy","20,372"
1962,"Livestock and Products: Poultry and eggs","12,260"
1962,"All Crops","84,855"
1962,"Crops: Food Grains","6,408"
1962,"Crops: Feed Crops","36,237"
1962,"Crops: Oil Crops","8,034"
1962,"Crops: Vegetables and Melons","11,074"
1962,"Crops: Fruits and Tree Nuts","10,956"
1962,"Crops: Other","15,303"
1963,"Total Output","185,550"
1963,"All livestock and Products","94,208"
1963,"Livestock and Products: Meat","61,690"
1963,"Livestock and Products: Dairy","20,296"
1963,"Livestock and Products: Poultry and eggs","12,528"
1963,"All Crops","88,113"
1963,"Crops: Food Grains","6,709"
1963,"Crops: Feed Crops","38,195"
1963,"Crops: Oil Crops","8,388"
1963,"Crops: Vegetables and Melons","11,118"
1963,"Crops: Fruits and Tree Nuts","10,532"
1963,"Crops: Other","16,020"
1964,"Total Output","184,491"
1964,"All livestock and Products","97,398"
1964,"Livestock and Products: Meat","64,698"
1964,"Livestock and Products: Dairy","20,697"
1964,"Livestock and Products: Poultry and eggs","12,989"
1964,"All Crops","85,373"
1964,"Crops: Food Grains","7,435"
1964,"Crops: Feed Crops","35,022"
1964,"Crops: Oil Crops","8,426"
1964,"Crops: Vegetables and Melons","10,734"
1964,"Crops: Fruits and Tree Nuts","10,645"
1964,"Crops: Other","15,868"
1965,"Total Output","189,365"
1965,"All livestock and Products","95,287"
1965,"Livestock and Products: Meat","62,474"
1965,"Livestock and Products: Dairy","20,307"
1965,"Livestock and Products: Poultry and eggs","13,398"
1965,"All Crops","90,926"
1965,"Crops: Food Grains","7,640"
1965,"Crops: Feed Crops","39,570"
1965,"Crops: Oil Crops","9,929"
1965,"Crops: Vegetables and Melons","10,828"
1965,"Crops: Fruits and Tree Nuts","11,192"
1965,"Crops: Other","14,990"
1966,"Total Output","188,802"
1966,"All livestock and Products","97,392"
1966,"Livestock and Products: Meat","64,866"
1966,"Livestock and Products: Dairy","19,660"
1966,"Livestock and Products: Poultry and eggs","14,177"
1966,"All Crops","89,180"
1966,"Crops: Food Grains","7,689"
1966,"Crops: Feed Crops","39,479"
1966,"Crops: Oil Crops","10,187"
1966,"Crops: Vegetables and Melons","11,502"
