Year, Livestock and Products: Meat, Livestock and Products: Dairy, Livestock and Products: Poultry and eggs, Crops: Food Grains, Crops: Feed Crops, Crops: Oil Crops, Crops: Vegetables and Melons, Crops: Fruits and Tree Nuts, Crops: Other
1960,55842,19576,11371,7545,37693,6917,10331,10413,14140
1961,58781,20156,12343,6917,35151,7964,10907,10761,14362
1962,58629,20372,12260,6408,36237,8034,11074,10956,15303
1963,61690,20296,12528,6709,38195,8388,11118,10532,16020
1964,64698,20697,12989,7435,35022,8426,10734,10645,15868
1965,62474,20307,13398,7640,39570,9929,10828,11192,14990
1966,64866,19660,14177,7689,39479,10187,11502,11593,12728
1967,66844,19510,14831,8673,43167,10497,12064,11490,11584
1968,67605,19337,14404,9194,41936,11998,12807,11264,12855
1969,68129,19205,14785,8483,43423,12137,12281,13388,14472
1970,71211,19412,15399,7939,40324,12320,12036,12592,13610
1971,71925,19724,15591,9327,49098,13566,12269,13188,13285
1972,71154,20012,16002,8916,47877,13855,12454,11924,15181
1973,74670,19265,15521,9825,49433,16518,12366,14371,15144
1974,74948,19307,15646,10433,42317,13313,12310,14725,14529
1975,70490,19299,15263,12368,49049,16259,13094,15778,15489
1976,72130,20138,16322,12301,49534,13894,13481,15270,16468
1977,68882,20586,16721,11535,52747,18852,13851,16165,17368
1978,66738,20408,17464,10791,56658,19906,14466,16025,16404
1979,66249,20764,18870,12585,59672,24197,15103,17179,17418
1980,70724,21657,19115,14003,51070,18748,15195,18702,16629
1981,71381,22413,19878,16545,60695,20836,15363,18320,19679
1982,70139,22873,19936,16049,62025,23099,16208,18255,18036
1983,70970,23575,20068,13598,40239,17336,16079,18180,15232
1984,69819,22749,20581,15064,59653,20236,16525,18067,19207
1985,68729,24147,21448,14129,65714,22241,17457,17812,19035
1986,69023,24177,22309,12396,62339,20380,18026,17205,17404
1987,68283,24128,24333,12416,55224,20475,19127,19727,20916
1988,66752,24538,24820,11294,41153,16967,18256,21171,22079
1989,66710,24366,25927,12389,55344,20315,18835,20231,21156
1990,67200,25034,27664,15980,57040,20441,19455,19903,24247
1991,69454,25034,28866,12193,55718,22085,20419,19675,25636
1992,70993,25589,30090,14958,64678,23421,21278,20549,25955
1993,70878,25578,31427,14297,49929,20119,22057,22092,25630
1994,76300,26103,32935,14413,65853,27014,24368,22968,27743
1995,76919,26411,34172,13395,53966,23356,23086,21372,26593
1996,73964,26204,36221,13862,63113,25236,23871,21440,27812
1997,75307,26576,36982,15025,62971,28131,24120,25338,29029
1998,75397,26790,37616,15392,64330,29060,23813,23148,26785
1999,75525,27725,39282,14467,64194,28050,25993,23659,27855
2000,73318,28532,40087,13904,65132,28809,25611,25774,28564
2001,75040,28195,40630,12810,63887,30624,24438,25131,29501
2002,73040,29023,42428,10989,60281,28684,25202,25236,28384
2003,73044,29071,44991,14638,66119,26194,24704,25479,29104
2004,73668,29156,42832,14129,72890,32494,25676,26225,32043
