Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Total Output,"175,550","177,680","179,290","185,550","184,491","189,365","188,802","195,078","198,030","201,959","199,198","212,708","213,612","223,518","211,599","229,233","230,294","241,137","244,215","258,898","250,432","272,586","276,527","237,620","269,917","281,869","270,938","274,244","258,671","279,616","293,043","294,192","311,369","296,286","330,984","313,700","328,730","341,819","344,163","352,114","354,056","355,892","348,646","356,194","372,532"
" Livestock and products: All livestock and products 1/: Quantity (million, $2015) ","87,662","92,102","91,780","94,208","97,398","95,287","97,392","99,189","98,958","99,401","102,835","103,927","104,368","106,308","106,898","103,156","106,565","105,675","104,365","105,807","110,858","113,647","112,753","113,996","112,263","115,066","115,189","116,986","117,381","118,175","121,019","124,185","127,293","128,450","135,466","138,047","137,461","140,193","141,140","144,677","144,832","145,829","147,008","149,700","147,272"
" Livestock and products: Meat animals: Quantity (million, $2015) ","55,842","58,781","58,629","61,690","64,698","62,474","64,866","66,844","67,605","68,129","71,211","71,925","71,154","74,670","74,948","70,490","72,130","68,882","66,738","66,249","70,724","71,381","70,139","70,970","69,819","68,729","69,023","68,283","66,752","66,710","67,200","69,454","70,993","70,878","76,300","76,919","73,964","75,307","75,397","75,525","73,318","75,040","73,040","73,044","73,668"
" Livestock and products: Dairy: Quantity (million, $2015) ","19,576","20,156","20,372","20,296","20,697","20,307","19,660","19,510","19,337","19,205","19,412","19,724","20,012","19,265","19,307","19,299","20,138","20,586","20,408","20,764","21,657","22,413","22,873","23,575","22,749","24,147","24,177","24,128","24,538","24,366","25,034","25,034","25,589","25,578","26,103","26,411","26,204","26,576","26,790","27,725","28,532","28,195","29,023","29,071","29,156"
" Livestock and products: Poultry and eggs: Quantity (million, $2015) ","11,371","12,343","12,260","12,528","12,989","13,398","14,177","14,831","14,404","14,785","15,399","15,591","16,002","15,521","15,646","15,263","16,322","16,721","17,464","18,870","19,115","19,878","19,936","20,068","20,581","21,448","22,309","24,333","24,820","25,927","27,664","28,866","30,090","31,427","32,935","34,172","36,221","36,982","37,616","39,282","40,087","40,630","42,428","44,991","42,832"
" Crops: All crops: Quantity (million, $2015) ","84,423","83,317","84,855","88,113","85,373","90,926","89,180","93,205","96,180","99,754","94,559","105,875","106,396","113,117","102,694","117,504","116,684","126,588","129,919","142,359","129,571","147,965","149,570","114,444","144,818","151,923","142,630","143,080","126,132","143,776","153,695","152,190","166,879","150,441","177,795","157,987","171,549","180,098","177,756","179,720","183,087","182,354","174,843","182,040","199,287"
" Crops: Food grains: Quantity (million, $2015) ","7,545","6,917","6,408","6,709","7,435","7,640","7,689","8,673","9,194","8,483","7,939","9,327","8,916","9,825","10,433","12,368","12,301","11,535","10,791","12,585","14,003","16,545","16,049","13,598","15,064","14,129","12,396","12,416","11,294","12,389","15,980","12,193","14,958","14,297","14,413","13,395","13,862","15,025","15,392","14,467","13,904","12,810","10,989","14,638","14,129"
" Crops: Feed crops: Quantity (million, $2015) ","37,693","35,151","36,237","38,195","35,022","39,570","39,479","43,167","41,936","43,423","40,324","49,098","47,877","49,433","42,317","49,049","49,534","52,747","56,658","59,672","51,070","60,695","62,025","40,239","59,653","65,714","62,339","55,224","41,153","55,344","57,040","55,718","64,678","49,929","65,853","53,966","63,113","62,971","64,330","64,194","65,132","63,887","60,281","66,119","72,890"
" Crops: Oil crops: Quantity (million, $2015) ","6,917","7,964","8,034","8,388","8,426","9,929","10,187","10,497","11,998","12,137","12,320","13,566","13,855","16,518","13,313","16,259","13,894","18,852","19,906","24,197","18,748","20,836","23,099","17,336","20,236","22,241","20,380","20,475","16,967","20,315","20,441","22,085","23,421","20,119","27,014","23,356","25,236","28,131","29,060","28,050","28,809","30,624","28,684","26,194","32,494"
" Crops: Vegetables and melons: Quantity (million, $2015) ","10,331","10,907","11,074","11,118","10,734","10,828","11,502","12,064","12,807","12,281","12,036","12,269","12,454","12,366","12,310","13,094","13,481","13,851","14,466","15,103","15,195","15,363","16,208","16,079","16,525","17,457","18,026","19,127","18,256","18,835","19,455","20,419","21,278","22,057","24,368","23,086","23,871","24,120","23,813","25,993","25,611","24,438","25,202","24,704","25,676"
" Crops: Fruits and tree nuts: Quantity (million, $2015) ","10,413","10,761","10,956","10,532","10,645","11,192","11,593","11,490","11,264","13,388","12,592","13,188","11,924","14,371","14,725","15,778","15,270","16,165","16,025","17,179","18,702","18,320","18,255","18,180","18,067","17,812","17,205","19,727","21,171","20,231","19,903","19,675","20,549","22,092","22,968","21,372","21,440","25,338","23,148","23,659","25,774","25,131","25,236","25,479","26,225"
" Crops: Other crops 2/: Quantity (million, $2015) ","14,140","14,362","15,303","16,020","15,868","14,990","12,728","11,584","12,855","14,472","13,610","13,285","15,181","15,144","14,529","15,489","16,468","17,368","16,404","17,418","16,629","19,679","18,036","15,232","19,207","19,035","17,404","20,916","22,079","21,156","24,247","25,636","25,955","25,630","27,743","26,593","27,812","29,029","26,785","27,855","28,564","29,501","28,384","29,104","32,043"
